id,observed_on,time_observed_at,url,image_url,description,num_identification_agreements,latitude,longitude,private_latitude,private_longitude,place_town_name,place_county_name,place_state_name,place_country_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
113666734,2022-04-23,2022-04-24 04:43:00 UTC,https://www.inaturalist.org/observations/113666734,https://inaturalist-open-data.s3.amazonaws.com/photos/192021216/medium.jpg,,3,35.1352174019,-97.0112203248,,,,Cleveland,Oklahoma,United States,Hurter's Spadefoot,Scaphiopus hurterii,Hurter's Spadefoot,Amphibia,26693,Scaphiopodidae,Scaphiopus,Scaphiopus hurterii
113791005,2022-04-30,2022-04-30 14:02:32 UTC,https://www.inaturalist.org/observations/113791005,https://inaturalist-open-data.s3.amazonaws.com/photos/192219196/medium.jpeg,,1,33.9953651428,-84.2445068359,,,,Gwinnett,Georgia,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
113975626,2022-04-26,2022-04-26 13:26:39 UTC,https://www.inaturalist.org/observations/113975626,https://inaturalist-open-data.s3.amazonaws.com/photos/192505589/medium.jpeg,,2,38.889518,-76.1939699722,,,,Queen Anne's,Maryland,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
114038545,2022-04-30,2022-05-01 00:35:49 UTC,https://www.inaturalist.org/observations/114038545,https://static.inaturalist.org/photos/192611770/medium.jpeg,,2,29.9479891997,-81.3363044997,,,,Saint Johns,Florida,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
114319069,2022-04-25,2022-04-26 03:33:00 UTC,https://www.inaturalist.org/observations/114319069,https://static.inaturalist.org/photos/193051405/medium.jpeg,"Follow up visit to see if adults were active after incidentally finding tadpoles, https://www.inaturalist.org/observations/114319073.",4,35.5454533353,-119.4592987159,,,,Kern,California,United States,Western Spadefoot,Spea hammondii,Western Spadefoot,Amphibia,26702,Scaphiopodidae,Spea,Spea hammondii
114319073,2022-04-24,2022-04-24 23:51:00 UTC,https://www.inaturalist.org/observations/114319073,https://static.inaturalist.org/photos/193053770/medium.jpeg,"Incidentally detected some movement in a ditch and confirmation sampling confirmed them to be spadefoots. Follow-up visit confirmed adult activity, https://www.inaturalist.org/observations/114319069.",3,35.4741050102,-119.5041673089,,,,Kern,California,United States,Western Spadefoot,Spea hammondii,Western Spadefoot,Amphibia,26702,Scaphiopodidae,Spea,Spea hammondii
114382854,2022-04-29,2022-04-29 05:44:00 UTC,https://www.inaturalist.org/observations/114382854,https://static.inaturalist.org/photos/193145183/medium.jpg,,1,26.1800297467,-98.3307688367,,,Fagáceas del Noreste de México ,Hidalgo,Texas,United States,Couch's Spadefoot,Scaphiopus couchii,Couch's Spadefoot,Amphibia,26691,Scaphiopodidae,Scaphiopus,Scaphiopus couchii
114448395,2022-04-29,2022-04-30 03:55:46 UTC,https://www.inaturalist.org/observations/114448395,https://static.inaturalist.org/photos/193261086/medium.jpg,"",1,37.41317,-118.5170533333,,,,Inyo,California,United States,Great Basin Spadefoot,Spea intermontana,Great Basin Spadefoot,Amphibia,26704,Scaphiopodidae,Spea,Spea intermontana
114499312,2022-05-01,2022-05-02 01:20:05 UTC,https://www.inaturalist.org/observations/114499312,https://inaturalist-open-data.s3.amazonaws.com/photos/193912963/medium.jpg,"",1,29.6903133333,-82.00950555,,,,Putnam,Florida,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
114519775,2022-05-01,2022-05-02 01:20:05 UTC,https://www.inaturalist.org/observations/114519775,https://static.inaturalist.org/photos/193380780/medium.jpg,"",1,29.6903133333,-82.00950555,,,,Putnam,Florida,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
114540291,2022-05-01,2022-05-01 14:30:41 UTC,https://www.inaturalist.org/observations/114540291,https://static.inaturalist.org/photos/193413882/medium.jpg,"",1,29.65713,-82.313775,,,Gainesville,Alachua,Florida,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
114542855,2022-05-01,2022-05-02 03:15:30 UTC,https://www.inaturalist.org/observations/114542855,https://static.inaturalist.org/photos/193418361/medium.jpg,"",1,31.5859555562,-102.874569086,,,,Ward,Texas,United States,Couch's Spadefoot,Scaphiopus couchii,Couch's Spadefoot,Amphibia,26691,Scaphiopodidae,Scaphiopus,Scaphiopus couchii
114715236,2022-05-02,2022-05-02 11:41:00 UTC,https://www.inaturalist.org/observations/114715236,https://static.inaturalist.org/photos/193680949/medium.jpg,,2,29.687694744,-82.3367987922,,,,Alachua,Florida,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
114785997,2022-04-26,2022-04-27 03:06:14 UTC,https://www.inaturalist.org/observations/114785997,https://inaturalist-open-data.s3.amazonaws.com/photos/193790392/medium.jpg,"",2,26.6936633333,-98.8376383333,,,,Starr,Texas,United States,Couch's Spadefoot,Scaphiopus couchii,Couch's Spadefoot,Amphibia,26691,Scaphiopodidae,Scaphiopus,Scaphiopus couchii
114786447,2022-04-26,2022-04-27 04:11:16 UTC,https://www.inaturalist.org/observations/114786447,https://inaturalist-open-data.s3.amazonaws.com/photos/193791231/medium.jpg,"",1,26.489253,-98.390166,,,,Hidalgo,Texas,United States,Plains Spadefoot,Spea bombifrons,Plains Spadefoot,Amphibia,26699,Scaphiopodidae,Spea,Spea bombifrons
114786595,2022-04-26,2022-04-27 04:18:23 UTC,https://www.inaturalist.org/observations/114786595,https://inaturalist-open-data.s3.amazonaws.com/photos/193791456/medium.jpg,"",1,26.480614,-98.367604,,,,Hidalgo,Texas,United States,Plains Spadefoot,Spea bombifrons,Plains Spadefoot,Amphibia,26699,Scaphiopodidae,Spea,Spea bombifrons
114786871,2022-04-26,2022-04-27 04:25:01 UTC,https://www.inaturalist.org/observations/114786871,https://inaturalist-open-data.s3.amazonaws.com/photos/193791954/medium.jpg,"",1,26.47925,-98.3247833333,,,,Hidalgo,Texas,United States,Plains Spadefoot,Spea bombifrons,Plains Spadefoot,Amphibia,26699,Scaphiopodidae,Spea,Spea bombifrons
114786988,2022-04-26,2022-04-27 04:26:46 UTC,https://www.inaturalist.org/observations/114786988,https://inaturalist-open-data.s3.amazonaws.com/photos/193792195/medium.jpg,"",1,26.479302,-98.325098,,,,Hidalgo,Texas,United States,Plains Spadefoot,Spea bombifrons,Plains Spadefoot,Amphibia,26699,Scaphiopodidae,Spea,Spea bombifrons
114822143,2022-05-02,2022-05-02 19:25:08 UTC,https://www.inaturalist.org/observations/114822143,https://inaturalist-open-data.s3.amazonaws.com/photos/193848836/medium.jpg,"",1,28.1318055,-82.6587533333,,,,Pinellas,Florida,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
114865978,2022-05-01,2022-05-02 01:20:04 UTC,https://www.inaturalist.org/observations/114865978,https://inaturalist-open-data.s3.amazonaws.com/photos/193916070/medium.jpg,"",2,29.6902583333,-82.0095222167,,,,Putnam,Florida,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
115007009,2022-04-25,2022-04-26 03:21:54 UTC,https://www.inaturalist.org/observations/115007009,https://inaturalist-open-data.s3.amazonaws.com/photos/194144833/medium.jpg,"",2,27.1378333333,-99.282445,,,,Zapata,Texas,United States,Couch's Spadefoot,Scaphiopus couchii,Couch's Spadefoot,Amphibia,26691,Scaphiopodidae,Scaphiopus,Scaphiopus couchii
115007675,2022-04-26,2022-04-26 18:26:12 UTC,https://www.inaturalist.org/observations/115007675,https://inaturalist-open-data.s3.amazonaws.com/photos/194146059/medium.jpg,"",2,27.1374971667,-99.2829583333,,,,Zapata,Texas,United States,Plains Spadefoot,Spea bombifrons,Plains Spadefoot,Amphibia,26699,Scaphiopodidae,Spea,Spea bombifrons
115012986,2022-05-02,2022-05-03 03:10:35 UTC,https://www.inaturalist.org/observations/115012986,https://inaturalist-open-data.s3.amazonaws.com/photos/194380170/medium.jpeg,,1,29.8714771271,-81.2770843506,,,,Saint Johns,Florida,United States,Eastern Spadefoot,Scaphiopus holbrookii,Eastern Spadefoot,Amphibia,26695,Scaphiopodidae,Scaphiopus,Scaphiopus holbrookii
115036697,2022-05-02,2022-05-03 04:22:06 UTC,https://www.inaturalist.org/observations/115036697,https://inaturalist-open-data.s3.amazonaws.com/photos/194193330/medium.jpg,"",1,34.1793241378,-98.3142764521,,,,Clay,Texas,United States,Plains Spadefoot,Spea bombifrons,Plains Spadefoot,Amphibia,26699,Scaphiopodidae,Spea,Spea bombifrons
115059842,2022-04-29,2022-04-29 23:00:38 UTC,https://www.inaturalist.org/observations/115059842,https://static.inaturalist.org/photos/194230307/medium.jpg,"Looking for an exact species, found in Santa Cruz River in Tucson",1,32.3026109814,-111.0473235488,,,,Pima,Arizona,United States,Couch's Spadefoot,Scaphiopus couchii,Couch's Spadefoot,Amphibia,26691,Scaphiopodidae,Scaphiopus,Scaphiopus couchii
